Crime Type,Crime Subtype,Crime Description,Crime Severity,Crime Status,Location,Area/Neighborhood,City,State/Region,Country,Location Type,Date,Time,Day of the Week,Season,Duration,Victim Name,Victim Age,Victim Gender,Victim Contact Information,Victim Statement,Injuries Sustained,Property Lost/Damaged,Suspect Name,Suspect Age,Suspect Gender,Suspect Description,Suspect Criminal History,Suspect Modus Operandi,Number of Suspects,Witness Name,Witness Statement,Witness Contact Information,Evidence Type,Evidence Description,Evidence Collection Date,Evidence Location,Arrests Made,Charges Filed,Method of Entry,Weapons Used,Tools Used,Escape Route,Monetary Loss,Motive,Crime Pattern,Gang Involvement,Terrorism Link,Media Coverage,Public Alert Issued,Social Media Activity,Source of Information,Confidentiality Level,Tags/Keywords
Kidnapping/Abduction,Forced Confinement,Quasi esse fuga occaecati totam ducimus deserunt voluptatibus quod amet animi enim vero.,Severe,Solved,"07, Raja Zila, Jalna-815502",Kollam,Ludhiana,Punjab,India,Public Space,2022-11-04,17:46:54,Sunday,Winter,20 minutes,Tiya Setty,28,Male,9750087532,Quo nobody's troubles are worse things that provide the pleasures of the pleasures.,Head injury,Car windshield broken,Mannat Amble,25,Female,Iusto adipisci consequatur ratione labore pariatur soluta eaque. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used fake IDs to commit fraud,3,Onkar Tiwari,"The laborious mandatory dignissimos often from the laborious pain that any one of them, but they have no discomfort to them.",910747830818,DNA Sample,Murder weapon recovered from trash,2009-10-18,"H.No. 823, Gulati Chowk, Rourkela 444915",Yes,Under IPC 302 for murder,Security Breach,,,Ran into a crowded market,Rs. 302824,Personal Vendetta,No,No,Yes,Yes,Yes,Yes,Police Report,Classified,forced confinement
Rioting,Public Disturbance,Ipsam sint accusamus temporibus quas officia saepe dignissimos eligendi assumenda nostrum ipsum aliquid quam deserunt expedita adipisci quae et cupiditate nemo.,Severe,Reported,"H.No. 650, Kanda Road, Chandrapur 883525",Danapur,Ludhiana,Punjab,India,Residential,1973-01-06,21:23:06,Saturday,Winter,14 minutes,Jhanvi Tak,19,Male,911641588669,"It is not the result of any duties, which some of them have any troubles of the troubles of the laborers or mistake.",Gunshot wound,Gold chain and mobile phone stolen,Azad Sundaram,23,Male,Aspernatur asperiores quia voluptas sequi eius illum occaecati impedit est animi debitis. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Used fake IDs to commit fraud,3,Reyansh Kalla,"Deleniti softness of the pain of the pain of the flight of the flight, nothing is great to have some of the needs of discomfort in which the pleasures of pleasures.",916269702247,DNA Sample,Murder weapon recovered from trash,1987-09-17,"H.No. 94, Randhawa Ganj
Rourkela-761013",Yes,Charged under IPC 392 for robbery,Unlocked Door,Gun,Hacking Software,Ran into a crowded market,Rs. 228337,Gang Rivalry,No,No,Yes,Yes,No,No,Police Report,Restricted,public disturbance
Robbery,Unarmed Robbery,Repudiandae hic voluptas inventore fugit iure quia at natus voluptatum expedita optio in consectetur eligendi id consequuntur molestiae magni cumque dolor commodi voluptatem repudiandae ipsam laborum at.,Minor,Solved,"14/14, Batta Chowk
Tiruvottiyur 740831",Gorakhpur,Ludhiana,Punjab,India,Residential,1977-12-10,16:07:16,Monday,Summer,90 minutes,Dhruv Ghosh,57,Other,4063419290,"The most prosecutors wants to be rejected, the most pwned.",Burn injuries,Jewelry worth Rs. 2 lakhs stolen,Neysa Dhaliwal,36,Other,Possimus perspiciatis praesentium exercitationem fuga quis totam totam aliquam consectetur minima maiores corporis quasi vero. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,3,Eshani Khatri,"Cupidity of the desire will explain to us, unless you find fault with us, and to avoid the needs of the distinction of the or the discomfort of the pleasure.",913233852065,CCTV Footage,Witness video recording,2006-06-24,"67, Mandal Street
Bijapur-834292",No,Arrested and charged for human trafficking,Forced Entry,Blunt Object,Lockpick,Boarded a train to another city,Rs. 150726,Financial Gain,No,Yes,Yes,No,Yes,Yes,Victim Statement,Classified,unarmed robbery
Financial Crimes,Fraud,Quia dolorem ea natus non dolorem nemo rem pariatur eaque quae dignissimos quae repudiandae natus officia provident molestias velit eius.,Moderate,Reported,"743, Varkey
Danapur 512648",Kollam,Ludhiana,Punjab,India,Public Space,1970-12-17,01:37:46,Sunday,Monsoon,15 minutes,Fateh Bir,18,Female,910399639209,"I will come to labor of the pain of the pain of pain, the pain of the graceful things to obtain the greater the work of the time of things in.",Head injury,Jewelry worth Rs. 2 lakhs stolen,Shayak Thaker,36,Male,Doloremque non voluptatum ex harum magni nulla et rem exercitationem ipsa quasi veniam commodi non explicabo. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Threatened victims with a knife,2,Ehsaan Sandal,"The truth of the body of the pain in which the hatred is easy to provide a person who can follow the discovery of the discovered, but the things of the truth of the truth of truth.",916918173900,DNA Sample,CCTV footage showing the suspect,1973-03-10,"H.No. 667
Chakraborty Road
Panihati-894929",No,Bailable offense under IPC 420,Unlocked Door,,Lockpick,Boarded a train to another city,Rs. 405641,Gang Rivalry,No,No,No,No,No,Yes,Victim Statement,Classified,fraud
Terrorism,Terrorist Attack,Doloribus facilis consequuntur quis at esse assumenda veritatis deleniti facilis ipsa velit eligendi enim totam reiciendis amet quidem porro officiis.,Moderate,Closed,"H.No. 620, Rajagopal Road
Gopalpur 230026",Khammam,Ludhiana,Punjab,India,Residential,1973-03-19,04:25:04,Tuesday,Autumn,114 minutes,Samar Upadhyay,35,Female,906901704,It is expedient that no one is the very pleasure of the pleasures of the pleasure of the pleasure of the truth of praise.,Fractured arm,Shop looted overnight,Mohanlal Chacko,20,Other,Quae dolore eligendi soluta vel dicta laudantium temporibus incidunt deleniti nostrum consectetur molestias asperiores. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,2,Anvi Khurana,"It is easy pleasure of the flight refuse to reject the environment of these all the wishes of the entire illegal of the right to be easy, but it is easy but hate by choosing some.",8722395879,Fingerprint,Bank statements proving embezzlement,1978-06-19,"52, Chakrabarti Ganj
Gudivada 217636",Yes,No charges filed yet,Unlocked Door,,Lockpick,Ran into a crowded market,Rs. 198629,Personal Vendetta,No,No,Yes,No,No,Yes,Victim Statement,Classified,terrorist attack
Property Crime,Trespassing,Sint assumenda et deleniti necessitatibus magnam veritatis possimus earum suscipit dignissimos similique at consectetur quas sint enim temporibus molestiae nostrum perferendis est neque eaque debitis.,Severe,Closed,"10/338
Aurora Marg
Jorhat-461308",Noida,Ludhiana,Punjab,India,Residential,1976-09-09,14:30:40,Monday,Winter,42 minutes,Indrajit Dewan,36,Other,910348241215,It is a practice option of happy and pleasures of the pain is not easy to do so and her great film.,Multiple stab wounds,Car windshield broken,Mahika Kale,43,Female,Amet doloribus sit quos culpa in nesciunt temporibus soluta optio. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Used a stolen car for escape,4,Ojas Ramanathan,"It is to be rejected, however, the result of the consequence of the Distinction, therefore, the distinction, therefore, to be avoided, therefore, to be avoided, therefore, to be rejected by some of the denouncing the denouncing the denouncing all distinction.",917579300800,CCTV Footage,Hacked emails with transaction details,2011-05-28,"41/03
Sood Chowk
Durg-570497",Yes,Arrested and charged for human trafficking,Unlocked Door,,Hacking Software,Fled on a stolen bike,Rs. 435253,Gang Rivalry,No,No,No,No,Yes,Yes,Police Report,Public,trespassing
Kidnapping/Abduction,Hostage Situation,Iusto cumque quos eveniet voluptates ullam necessitatibus exercitationem eaque aperiam quidem maxime magni officiis suscipit accusantium placeat deserunt quaerat.,Severe,Under Investigation,"233
Sandal Circle, Bhiwani-730295",Dehri,Ludhiana,Punjab,India,Residential,1972-05-22,14:42:07,Saturday,Winter,43 minutes,Oorja Sood,47,Male,917014519722,"Abying him a wise, often nothing that is exposed to the corrupted us of great troubles.",Burn injuries,Car windshield broken,Indrans Kibe,28,Male,Soluta debitis voluptas ipsam iusto rem accusamus. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Threatened victims with a knife,1,Kashvi Bala,"There is a flight of the desire of the responsibilities, no one and the blinded pleasure to leave the pleasure of the pleasure and the fault.",1841907417,Weapon,Hacked emails with transaction details,1990-12-14,"79/55, Saxena Ganj
Pudukkottai-410032",No,Bailable offense under IPC 420,Unlocked Door,Blunt Object,,Used a tunnel behind the house,Rs. 387187,Gang Rivalry,Yes,Yes,Yes,No,Yes,No,Victim Statement,Public,hostage situation
Assault,Sexual Assault,Asperiores porro voluptatibus quae quis soluta vitae sapiente repudiandae et doloribus cum magni.,Severe,Closed,"H.No. 85, Bhavsar Zila, Morena 266031",Vasai-Virar,Ludhiana,Punjab,India,Commercial,1994-05-24,02:21:24,Thursday,Winter,24 minutes,Ehsaan Choudhary,31,Male,911358273698,"No one is often called, indeed, who, except that of the one who wishes.","No physical injuries, but mental trauma",Laptop and cash stolen,Arhaan Sarin,49,Male,Necessitatibus nisi nihil error adipisci voluptates eum dignissimos sed. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Broke in through the backdoor,2,Ayesha Gulati,And the entire hard work of the duties of the pain hates the needs of loose advantage like we can be blinded mainstream hardship to be prepared to be like.,3595625954,CCTV Footage,Witness video recording,1986-08-22,"65/454, Lad, Thane-146050",No,Case registered under cybercrime act,Unlocked Door,Blunt Object,Hacking Software,Used a tunnel behind the house,Rs. 403420,Financial Gain,Yes,No,No,No,No,No,Witness Account,Classified,sexual assault
Kidnapping/Abduction,Child Abduction,Tempora pariatur consectetur sapiente distinctio occaecati neque possimus velit consequatur esse neque ipsa cum consectetur aut qui asperiores nihil aliquam perspiciatis repellat molestiae illo.,Moderate,Solved,"08, Saraf Street
Bidhannagar 903934",Surendranagar Dudhrej,Ludhiana,Punjab,India,Commercial,1977-04-18,23:24:49,Monday,Summer,56 minutes,Divit Dar,19,Male,915378103780,"Body of them discomfort is deserving error at times of troubles, something they are accepted is the greater is not often snacks of some pleasures.",Gunshot wound,Bike set on fire,Elakshi Ray,33,Female,Doloribus in neque nisi aperiam suscipit impedit eveniet provident itaque ipsum doloribus. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Hacked into bank accounts,4,Kiaan Borah,For all rejecting the blessed thing here as if he escape the life of the prosecutors.,8446490750,Fingerprint,Fingerprints found on the crime scene,1975-10-09,"H.No. 898
Sachdeva Chowk
Firozabad 755529",No,Bailable offense under IPC 420,Forced Entry,Gun,Lockpick,Boarded a train to another city,Rs. 241829,Gang Rivalry,No,No,Yes,Yes,No,Yes,Police Report,Classified,child abduction
Kidnapping/Abduction,Hostage Situation,Quis repudiandae autem repellendus ab temporibus minus natus id distinctio quia voluptate nemo dolorum alias voluptate ad repudiandae non quis.,Minor,Solved,"80/156, Badal Nagar, Karnal-010314",Korba,Ludhiana,Punjab,India,Public Space,2020-10-16,00:46:42,Tuesday,Monsoon,83 minutes,Kavya Toor,55,Female,912282862176,"I will come to some of them a great pleasure to be pleased with the pleasure of the pleasures of the, but rejected them to be blessed.",Fractured arm,Gold chain and mobile phone stolen,Vihaan Tank,31,Female,Temporibus neque illo laboriosam maxime sunt impedit vel alias. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Hacked into bank accounts,3,Pari Behl,The distinction seeks to the life of the accusation who is or hate pain that interfere with the times of the blessedness of the blessedness of a flight.,914047959022,DNA Sample,Bank statements proving embezzlement,1970-01-17,"86/569
Arora Ganj
Arrah-082454",Yes,No charges filed yet,Security Breach,,Lockpick,Escaped using a fake taxi,Rs. 124639,Gang Rivalry,Yes,Yes,Yes,No,No,No,Victim Statement,Public,hostage situation
Organized Crime,Arms Smuggling,Totam vero enim culpa a dolores quod tempore nesciunt aspernatur nemo dolor quidem iste laboriosam deleniti cum ut asperiores labore delectus cumque rem.,Severe,Closed,"539
Bali Path
Sikar-662027",Erode,Ludhiana,Punjab,India,Residential,1977-05-18,12:10:27,Monday,Summer,105 minutes,Tejas Sharma,57,Female,4601717352,"Pains follow that great I will come to the needs of his ancestors, for the greatest of the encounter.",Gunshot wound,Laptop and cash stolen,Divij Biswas,31,Other,Nulla ipsa laborum sapiente doloribus velit odio facilis ex repudiandae similique quas animi. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Used a stolen car for escape,5,Rhea Tata,"From the following words, otherwise these are the benefit of the times to make greater services to praise the wisdom of the wise thing and the matter of pain.",910920469950,CCTV Footage,CCTV footage showing the suspect,1985-08-05,"83, Shetty
Rajpur Sonarpur 174565",Yes,Arrested and charged for human trafficking,Forced Entry,Knife,Hacking Software,Used a tunnel behind the house,Rs. 136979,Financial Gain,Yes,No,No,Yes,No,No,Police Report,Public,arms smuggling
Kidnapping/Abduction,Child Abduction,Modi tenetur numquam delectus architecto explicabo cum iste optio fugiat corporis ipsum cumque accusamus sapiente reiciendis provident consectetur quisquam officiis illo ratione a.,Moderate,Closed,"H.No. 021, Anne Circle, Vellore 693194",Nadiad,Ludhiana,Punjab,India,Residential,2006-06-14,09:51:57,Thursday,Summer,87 minutes,Himmat Bhattacharyya,57,Other,7497880073,"Occaecati was born to flight praising the tiny praising the rights which further endures him, indeed, consumer is bound to abandon the most easy or.",Head injury,Jewelry worth Rs. 2 lakhs stolen,Anika Chaudhry,50,Male,Quas recusandae quaerat nobis ea nulla ex tenetur suscipit maxime quis maiores. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Set fire to the evidence,3,Aaryahi Agarwal,"Minneapolis, which runs often, therefore, be worse than the pain they do not know the very thing of the avoidance of the truth which praising the minimal praise.",914356177314,DNA Sample,Fingerprints found on the crime scene,2000-12-22,"45/40
Bose Nagar, Mangalore-198824",No,Charged under IPC 392 for robbery,Unlocked Door,Gun,,Ran into a crowded market,Rs. 268973,Personal Vendetta,Yes,No,No,No,Yes,Yes,Witness Account,Restricted,child abduction
Financial Crimes,Fraud,Adipisci tempora molestiae voluptatum accusamus dignissimos labore vel accusamus quasi rerum laboriosam alias ut enim ipsam minus minus laborum odio facilis repudiandae tempora.,Minor,Reported,"H.No. 31, Saxena Street
Meerut 751478",Maheshtala,Ludhiana,Punjab,India,Public Space,1996-11-08,01:31:54,Monday,Summer,26 minutes,Elakshi Gola,60,Other,914457867946,"The whole of the blessed consequences of a wise man to take pleasure to obtain it, I will come and seek him.",Gunshot wound,House ransacked,Taran Vohra,36,Female,Dignissimos quidem pariatur perferendis ab sint distinctio modi quos minus dolorum magni iure. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Broke in through the backdoor,5,Vritika Sarna,Summa when you never get any of the right to open the right to open the discomfort.,916262742235,Weapon,CCTV footage showing the suspect,1984-06-22,"H.No. 938, Ramakrishnan Zila
Kulti-351071",No,Charged under IPC 392 for robbery,Unlocked Door,Blunt Object,,Left the country using a fake passport,Rs. 263015,Personal Vendetta,No,No,Yes,Yes,No,No,Victim Statement,Restricted,fraud
Property Crime,Vandalism,Modi minus officiis perspiciatis assumenda autem laborum ipsum dicta itaque dicta alias repellendus nihil eligendi qui doloremque inventore odio ex sapiente numquam.,Severe,Solved,"H.No. 288
Balakrishnan Ganj
Jamalpur 963225",Karaikudi,Ludhiana,Punjab,India,Residential,2012-02-19,21:37:47,Thursday,Summer,57 minutes,Vedika Raja,29,Male,911841084175,"From whom you encounter or just one thing is an intense pleasures of the pleasures of the resilience of this, some of them or for the great.",Gunshot wound,Car windshield broken,Chirag Rattan,50,Other,Delectus facere numquam ex deserunt blanditiis suscipit mollitia nesciunt voluptates voluptatum itaque. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Broke in through the backdoor,1,Nirvaan Sur,Great to follow the pains of exercise or architect to provide discomfort.,917204577551,Fingerprint,Bank statements proving embezzlement,1975-12-11,"H.No. 834, Kade Marg
Nellore 244426",No,No charges filed yet,Unlocked Door,,Lockpick,Boarded a train to another city,Rs. 148193,Financial Gain,No,Yes,Yes,Yes,No,No,Police Report,Classified,vandalism
